"","model","sex","age.n","year","week","date","time","exposures","observed.deaths","expected.deaths","expected.deaths.qlo","expected.deaths.qhi","observed.mx","observed.log.mx","excess.deaths.avg","excess.deaths.qlo","excess.deaths.qhi","cum.excess.deaths.avg","cum.excess.deaths.qlo","cum.excess.deaths.qhi"
"1","gam.nb","f",0,2020,10,2020-03-02,530,100458.268206334,35,28.2820534272736,18,40,0.000348403378088429,-3.45791764276296,6.687,-5,17,6.687,-5,17
"2","gam.nb","f",0,2020,11,2020-03-09,531,100464.938849046,43,28.237006764558,18,40,0.000428010015161706,-3.36854606865371,14.853,3,25,21.54,6,37
"3","gam.nb","f",0,2020,12,2020-03-16,532,100471.645675363,23,28.2745075712506,18,40,0.00022892030727073,-3.64031567982685,-5.139,-17,5.02499999999998,16.401,-4,34.025
"4","gam.nb","f",0,2020,13,2020-03-23,533,100478.390589061,30,28.3677741027225,18,40,0.000298571661270877,-3.52495141542458,1.67,-10,12,18.071,-5,40
"5","gam.nb","f",0,2020,14,2020-03-30,534,100485.175493916,39,28.4901301245969,18,40,0.000388116951662798,-3.41103738830138,10.551,-2,20.025,28.622,3,52
"6","gam.nb","f",0,2020,15,2020-04-06,535,100492.002293704,17,28.614602277975,18,40,0.000169167691079682,-3.77168257820984,-11.794,-23.025,-1,16.828,-12,44
"7","gam.nb","f",0,2020,16,2020-04-13,536,100498.8728922,35,28.7181849677343,18,40,0.000348262612233896,-3.45809314676501,6.481,-5,16.025,23.309,-7,51
"8","gam.nb","f",0,2020,17,2020-04-20,537,100505.789193182,24,28.7952664457584,18,41,0.000238792214783466,-3.62197983638562,-4.573,-16,7,18.736,-15,49
"9","gam.nb","f",0,2020,18,2020-04-27,538,100512.753100424,24,28.8446742287868,18,41,0.000238775670347236,-3.62200992700765,-4.998,-17,5,13.738,-20,44.025
"10","gam.nb","f",0,2020,19,2020-05-04,539,100519.766517704,19,28.8653072410605,18,41,0.000189017550062193,-3.72349787021134,-9.932,-23,1,3.806,-32,39
"11","gam.nb","f",0,2020,20,2020-05-11,540,100526.831348796,30,28.8561458821998,18,41,0.000298427788854794,-3.52516073889246,1.171,-10,12,4.977,-33,41
"12","gam.nb","f",0,2020,21,2020-05-18,541,100533.949497477,29,28.8162620513219,18,41,0.000288459770504965,-3.53991474634173,0.304,-13,11,5.281,-33,42
"13","gam.nb","f",0,2020,22,2020-05-25,542,100541.122867524,24,24.6192888689556,15,35,0.000238708294829999,-3.62213248951312,-0.743,-12,9,4.538,-36.025,43
"14","gam.nb","f",0,2020,23,2020-06-01,543,100548.353362711,29,28.6438275200667,18,40,0.000288418447743122,-3.53997696483745,0.779,-11,12,5.317,-39,44
"15","gam.nb","f",0,2020,24,2020-06-08,544,100555.642886815,21,28.5169988726062,18,40,0.00020883959763091,-3.6801871522112,-7.532,-19,3,-2.215,-47,38
"16","gam.nb","f",0,2020,25,2020-06-15,545,100562.993343613,28,28.3685945091629,18,40,0.000278432443874529,-3.55528016067524,-0.549,-12.025,10,-2.764,-49.025,38
"17","gam.nb","f",0,2020,26,2020-06-22,546,100570.406636879,26,28.2027413018996,18,40,0.000258525354221506,-3.58749685814633,-2.42,-15,8,-5.184,-52.05,38
"18","gam.nb","f",0,2020,27,2020-06-29,547,100577.88467039,25,28.0235145212773,18,40,0.00024856358912229,-3.604562488733,-3.247,-14,7,-8.431,-58,36
"19","gam.nb","f",0,2020,28,2020-07-06,548,100585.429347923,32,27.8349163570535,17,39,0.000318137529535343,-3.49738509571907,4.194,-7,14,-4.237,-55,41
"20","gam.nb","f",0,2020,29,2020-07-13,549,100593.042573253,21,27.6430057715313,17,39,0.000208761952743478,-3.68034864943992,-6.616,-17,3,-10.853,-65.025,34
"21","gam.nb","f",0,2020,30,2020-07-20,550,100600.726250156,24,27.4622082543395,17,39,0.0002385668662105,-3.62238987424982,-3.256,-15,7,-14.109,-67.025,33
"22","gam.nb","f",0,2020,31,2020-07-27,551,100608.482282408,25,27.3087002708509,17,39,0.000248487994579077,-3.60469458887837,-2.03,-13,8,-16.139,-71.025,34.025
"23","gam.nb","f",0,2020,32,2020-08-03,552,100616.312573785,31,27.1983478089668,17,39,0.000308101133971361,-3.51130670325204,3.894,-7,14,-12.245,-67,37
"24","gam.nb","f",0,2020,33,2020-08-10,553,100624.219028063,27,27.1469140621631,17,39,0.000268325063894111,-3.5713387585524,-0.033,-11,10,-12.278,-67,37.05
"25","gam.nb","f",15,2020,10,2020-03-02,530,213721.904755623,109,101.479330157564,79,126,0.000510008555859703,-3.29242253815405,8.028,-15.025,30,8.028,-15.025,30
"26","gam.nb","f",15,2020,11,2020-03-09,531,213731.006347407,113,100.969196008236,78,126,0.000528701950789139,-3.27678908714474,11.473,-13,35,19.501,-14,52.025
"27","gam.nb","f",15,2020,12,2020-03-16,532,213740.139326031,90,100.699269998104,78,125,0.000421072056394225,-3.37564357870908,-11.041,-36,12,8.46,-31,48
"28","gam.nb","f",15,2020,13,2020-03-23,533,213749.302513009,97,100.607832385084,78,125,0.000453802650392725,-3.34313297198662,-3.574,-30,19,4.886,-42.025,52
"29","gam.nb","f",15,2020,14,2020-03-30,534,213758.494729857,105,100.634579386696,78,125,0.000491208548847131,-3.30873408346944,4.873,-20,28,9.759,-43,64.025
"30","gam.nb","f",15,2020,15,2020-04-06,535,213767.714798089,131,100.719736507746,78,125,0.000612814709291972,-3.21267081895041,30.353,3.975,52.025,40.112,-18.025,99.025
"31","gam.nb","f",15,2020,16,2020-04-13,536,213776.961539221,136,100.811031569449,78,126,0.000636177065202832,-3.19642199168165,34.693,10,57,74.805,10,138.025
"32","gam.nb","f",15,2020,17,2020-04-20,537,213786.233774767,153,100.886048725704,78,126,0.000715668157385624,-3.14528830565788,51.69,26,74,126.495,57,199
"33","gam.nb","f",15,2020,18,2020-04-27,538,213795.530326244,132,100.929818020804,78,126,0.00061741234626642,-3.20942469027056,30.912,8,55,157.407,85.975,227
"34","gam.nb","f",15,2020,19,2020-05-04,539,213804.850015166,86,100.927365606423,78,126,0.000402235964216432,-3.39551910141092,-14.507,-40,8.02499999999998,142.9,69,215.025
"35","gam.nb","f",15,2020,20,2020-05-11,540,213814.191663049,107,100.863771117638,78,126,0.0005004345088965,-3.3006527499247,5.928,-18,29,148.828,67,223
"36","gam.nb","f",15,2020,21,2020-05-18,541,213823.554091407,117,100.724247019086,78,125,0.000547180129416351,-3.26186968219715,16.779,-9,40,165.607,79,245
"37","gam.nb","f",15,2020,22,2020-05-25,542,213832.936121755,76,86.2651368136273,66,109,0.000355417651641494,-3.44926100697492,-10.328,-34,11,155.279,69,234.025
"38","gam.nb","f",15,2020,23,2020-06-01,543,213842.33657561,96,100.169634467105,77,125,0.00044892887693479,-3.34782245810898,-3.579,-29.025,19,151.7,63.95,234.05
"39","gam.nb","f",15,2020,24,2020-06-08,544,213851.754274486,113,99.7529611189956,77,124,0.000528403427801489,-3.27703437374024,13.688,-11,36,165.388,77,251
"40","gam.nb","f",15,2020,25,2020-06-15,545,213861.188039898,87,99.2488288084236,77,124,0.000406805932377825,-3.39061272246471,-12.573,-38.025,11,152.815,60.975,246
"41","gam.nb","f",15,2020,26,2020-06-22,546,213870.636693361,74,98.6616450887867,76,123,0.000346003552166435,-3.46091944259924,-23.916,-48,-3,128.899,30.975,221.025
"42","gam.nb","f",15,2020,27,2020-06-29,547,213880.09905639,106,97.995958196739,76,122,0.000495604782621933,-3.30486451130265,8.071,-15.025,29.025,136.97,33.975,232.075
"43","gam.nb","f",15,2020,28,2020-07-06,548,213889.573950502,91,97.2564257980061,75,121,0.000425453182776731,-3.37114822307736,-6.214,-31,16,130.756,28.95,231
"44","gam.nb","f",15,2020,29,2020-07-13,549,213899.06019721,100,96.4595284882861,74,120,0.000467510235471826,-3.33020887642724,3.715,-20,26,134.471,25.975,237.025
"45","gam.nb","f",15,2020,30,2020-07-20,550,213908.556618031,105,95.6679611672527,74,120,0.000490863954486379,-3.30903885818822,8.956,-14,31,143.427,36.975,248.025
"46","gam.nb","f",15,2020,31,2020-07-27,551,213918.062034478,107,94.9539858579467,73,119,0.000500191517174246,-3.30086367781074,12.071,-12,34.025,155.498,40.975,265.025
"47","gam.nb","f",15,2020,32,2020-08-03,552,213927.575268068,120,94.387812488112,72,118,0.00056093750349683,-3.25108552269822,25.834,0.975000000000001,48,181.332,69,293
"48","gam.nb","f",15,2020,33,2020-08-10,553,213937.095140315,113,94.0384420866359,72,118,0.000528192644318587,-3.27720765113003,19.003,-3.025,41,200.335,82,311.025
"49","gam.nb","f",45,2020,10,2020-03-02,530,148643.708254085,508,500.251425797453,423,583,0.0034175681296355,-2.46628281896063,5.219,-77.025,83.025,5.219,-77.025,83.025
"50","gam.nb","f",45,2020,11,2020-03-09,531,148657.022554058,521,496.266356884563,420,578,0.0035047116580755,-2.45534770678659,24.458,-61.05,101,29.677,-82.025,147.025
"51","gam.nb","f",45,2020,12,2020-03-16,532,148670.35820452,497,493.514392458569,417,575,0.00334296631825085,-2.47586799907943,2.148,-80.025,76,31.825,-112.025,173
"52","gam.nb","f",45,2020,13,2020-03-23,533,148683.716657867,537,491.674485692532,416,573,0.00361169341250514,-2.44228912295112,45.328,-39,120.025,77.153,-87,242
"53","gam.nb","f",45,2020,14,2020-03-30,534,148697.099366495,703,490.436466924228,415,571,0.00472773176474216,-2.32534717180467,209.318,127,286,286.471,106.925,470.025
"54","gam.nb","f",45,2020,15,2020-04-06,535,148710.507782799,796,489.496334089408,414,570,0.00535268160850213,-2.27142858881964,304.508,224.975,382,590.979,412,782.075
"55","gam.nb","f",45,2020,16,2020-04-13,536,148723.943359174,893,488.597592746004,413,569,0.00600441314175867,-2.22152943318208,402.048,319,476.025,993.027,785,1215.05
"56","gam.nb","f",45,2020,17,2020-04-20,537,148737.407548017,849,487.661904556485,412,568,0.00570804624066018,-2.24351251734047,361.484,280.975,435.025,1354.511,1131.875,1596
"57","gam.nb","f",45,2020,18,2020-04-27,538,148750.901801723,714,486.655478505286,411,567,0.00479997090001999,-2.31876139554088,227.819,147.975,301.025,1582.33,1344,1819.05
"58","gam.nb","f",45,2020,19,2020-05-04,539,148764.427572687,523,485.544828099924,410,566,0.0035156253987161,-2.45399740661807,36.846,-46,108.025,1619.176,1377.825,1879.025
"59","gam.nb","f",45,2020,20,2020-05-11,540,148777.986313305,656,484.296831954025,409,564,0.00440925446200461,-2.35563483692883,172.306,88.975,243,1791.482,1530,2059.025
"60","gam.nb","f",45,2020,21,2020-05-18,541,148791.579475973,575,482.878817070102,408,563,0.0038644660001936,-2.41291050929847,91.825,14.975,166.05,1883.307,1605,2153.075
"61","gam.nb","f",45,2020,22,2020-05-25,542,148805.208513086,461,425.653275263486,358,498,0.00309800983854312,-2.50891720735854,34.415,-38.05,103.05,1917.722,1634.95,2198.05
"62","gam.nb","f",45,2020,23,2020-06-01,543,148818.874877039,518,479.398986390673,405,559,0.00348074127309452,-2.4583282570499,38.146,-40.05,105.05,1955.868,1668.925,2249
"63","gam.nb","f",45,2020,24,2020-06-08,544,148832.58002023,498,477.25960112745,403,556,0.00334604157189448,-2.47546866757798,21.309,-64,91.025,1977.177,1676.95,2265
"64","gam.nb","f",45,2020,25,2020-06-15,545,148846.325395052,504,474.800448092145,401,554,0.00338604260912951,-2.47030758113748,31.915,-44.025,105,2009.092,1702.85,2309.125
"65","gam.nb","f",45,2020,26,2020-06-22,546,148860.112453901,443,471.983178931222,399,550,0.00297594830943842,-2.52637461651347,-29.56,-110.05,48.025,1979.532,1672.675,2295.025
"66","gam.nb","f",45,2020,27,2020-06-29,547,148873.942649174,456,468.771227611681,396,547,0.00306299404640998,-2.51385384733767,-12.796,-90,60,1966.736,1645.9,2297.075
"67","gam.nb","f",45,2020,28,2020-07-06,548,148887.817433265,421,465.130127576947,393,543,0.00282763228891243,-2.54857706774619,-43.088,-119,24,1923.648,1591.775,2265.05
"68","gam.nb","f",45,2020,29,2020-07-13,549,148901.738258571,486,461.098939246946,389,538,0.00326389742446156,-2.48626349841399,22.803,-57,95,1946.451,1608.975,2299.025
"69","gam.nb","f",45,2020,30,2020-07-20,550,148915.706577487,445,456.998510353386,386,533,0.00298826772694019,-2.52458049550321,-9.764,-93,55.025,1936.687,1593.875,2298.05
"70","gam.nb","f",45,2020,31,2020-07-27,551,148929.723842408,448,453.208760238875,382,529,0.00300813020021481,-2.52170337020436,-6.139,-82.025,63,1930.548,1576.975,2315.025
"71","gam.nb","f",45,2020,32,2020-08-03,552,148943.791505731,468,450.097394440346,380,525,0.00314212492691912,-2.50277655195262,18.268,-57,88.025,1948.816,1581.975,2334.025
"72","gam.nb","f",45,2020,33,2020-08-10,553,148957.911019849,483,448.023954044661,378,523,0.00324252667544215,-2.48911644239896,35.827,-44.025,101,1984.643,1609.95,2373.05
"73","gam.nb","f",65,2020,10,2020-03-02,530,59266.0248847422,735,734.496107064146,627,849,0.0124017090977401,-1.9065184599531,1.428,-118.025,106,1.428,-118.025,106
"74","gam.nb","f",65,2020,11,2020-03-09,531,59271.7463562855,704,727.459747305392,621,841,0.011877497176618,-1.92527506414423,-26.486,-139.05,84.025,-25.058,-194.025,133.05
"75","gam.nb","f",65,2020,12,2020-03-16,532,59277.4583200273,747,722.5993251787,617,836,0.0126017548857627,-1.89956897201465,23.899,-94,128,-1.159,-203.05,194.025
"76","gam.nb","f",65,2020,13,2020-03-23,533,59283.1612588528,716,719.167324910403,614,832,0.0120776285339048,-1.91801833191898,-1.012,-115.025,96.0749999999999,-2.171,-238.05,227.025
"77","gam.nb","f",65,2020,14,2020-03-30,534,59288.8556556474,1033,716.44169070014,611,829,0.017423173184514,-1.7588727465141,319.502,210.975,424.05,317.331,60.9,579.025
"78","gam.nb","f",65,2020,15,2020-04-06,535,59294.5419932964,1142,713.715217257811,609,826,0.019259782799724,-1.71534861489649,427.669,325,532,745,460.875,1037.075
"79","gam.nb","f",65,2020,16,2020-04-13,536,59300.220754685,1309,710.428193509159,606,822,0.0220741168134114,-1.65611666354813,597.432,490.95,702,1342.432,1046.8,1656.025
"80","gam.nb","f",65,2020,17,2020-04-20,537,59305.8924226983,1223,706.573538769765,603,818,0.0206218969151186,-1.68567138842797,518.055,406.95,618.025,1860.487,1524,2183
"81","gam.nb","f",65,2020,18,2020-04-27,538,59311.5574802218,1030,702.280401305786,599,813,0.0173659240080395,-1.76030210374875,328.293,213.975,428.025,2188.78,1849.9,2528.225
"82","gam.nb","f",65,2020,19,2020-05-04,539,59317.2164101406,806,697.675988695691,595,807,0.0135879606087215,-1.86684572081288,107.592,1,212.025,2296.372,1937,2648.075
"83","gam.nb","f",65,2020,20,2020-05-11,540,59322.8696953401,898,692.884908473766,591,802,0.0151375010111916,-1.81994581483783,204.834,105.9,305.025,2501.206,2127.95,2858.15
"84","gam.nb","f",65,2020,21,2020-05-18,541,59328.5178187055,759,688.028732861751,587,796,0.0127931731299833,-1.89302172276731,72.207,-38,174.025,2573.413,2182.9,2937
